community,region,area_sqm,floor,orientation,decoration,build_year,total_price_wan,unit_price_yuan_per_sqm,source_file,source
爱博三村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
宜浩佳园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
长泰公馆,,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲六期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永康城浦欣苑,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
滴水湖馨苑(公寓住宅),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
海洲桃花园,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
万科金域澜湾(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
鹤沙航城汇诚佳苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
爱博一村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
杉林新月家园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
潼港六村后,,,,,精装修,,,,dataset.csv,anjuke_kaggle
南郊中华园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博五村,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
金地未未来,,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦江丽都(南区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿洲康城金帝豪苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
长泰公馆,,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲四期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱法奥朗新庄园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦江宝邸(南区),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
民乐苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
紫薇二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
名扬佳园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
民乐苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博一村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
瑞和华苑(二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
长泰公馆,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
爱博二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科海上传奇(一二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦江瑞和城陆街区(南),,,,,精装修,,,,dataset.csv,anjuke_kaggle
万博家园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
尼德兰花园(二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
华城秀庭,,,,,精装修,,,,dataset.csv,anjuke_kaggle
浦江华侨城(二期公寓住宅),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
爱博二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
永泰花苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
民乐苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
旭辉江山都会,,,,,精装修,,,,dataset.csv,anjuke_kaggle
京浦小区,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
三林世博家园(H区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
永康城浦欣苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
恒大翰城瀚林苑(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
上实望海,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科海上传奇(一二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博一村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
依水园(一期),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
万科金域澜湾(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
金谊河畔,,,,,精装修,,,,dataset.csv,anjuke_kaggle
康桥花园北园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
海上风华,,,,,精装修,,,,dataset.csv,anjuke_kaggle
华漕新村,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
中房樱桃苑,,,,,精装修,,,,dataset.csv,anjuke_kaggle
南郊中华园,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科金色城市,,,,,精装修,,,,dataset.csv,anjuke_kaggle
尼德兰花园(三期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
良友大厦,,,,,精装修,,,,dataset.csv,anjuke_kaggle
长泰公馆,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博三村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
陆家嘴滴水涟岸(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
瑞和雅苑壹街区,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
绿洲康城亲水湾(中区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
凌兆路521弄小区,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
良友大厦,,,,,精装修,,,,dataset.csv,anjuke_kaggle
长泰东郊御园,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
浦江瑞和城贰街区(二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
民乐苑,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
南郊中华园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
海洲桃花园,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
绿茵苑(浦东),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
保利铃兰公馆(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,豪华装修,,,,dataset.csv,anjuke_kaggle
浦发绿城,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
海洲桃花园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
绿洲康城亲水湾(中区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科金域澜湾(公寓住宅),,,,,豪华装修,,,,dataset.csv,anjuke_kaggle
浦凌佳苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
民星苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
新高桥春晖苑,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
盛世天地,,,,,毛坯,,,,dataset.csv,anjuke_kaggle
高行绿洲五期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
三林世博家园(D区),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
浦江华侨城(八期公寓),,,,,精装修,,,,dataset.csv,anjuke_kaggle
南新东园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
长泰公馆,,,,,精装修,,,,dataset.csv,anjuke_kaggle
上浦路355弄小区,,,,,精装修,,,,dataset.csv,anjuke_kaggle
梅园三街坊,,,,,精装修,,,,dataset.csv,anjuke_kaggle
金硕河畔景园(西区),,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博一村,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
富特四村,,,,,简单装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科金域澜湾(公寓住宅),,,,,精装修,,,,dataset.csv,anjuke_kaggle
西郊庄园,,,,,精装修,,,,dataset.csv,anjuke_kaggle
凯旋汇,,,,,精装修,,,,dataset.csv,anjuke_kaggle
碧云澧悦,,,,,精装修,,,,dataset.csv,anjuke_kaggle
高行绿洲二期,,,,,精装修,,,,dataset.csv,anjuke_kaggle
爱博一村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
万科海上传奇(一二期),,,,,精装修,,,,dataset.csv,anjuke_kaggle
瑞和华苑(一期),,,,,毛坯,,,,dataset.csv,anjuke_kaggle
万科金域澜湾(公寓住宅),,,,,简单装修,,,,dataset.csv,anjuke_kaggle
学前二村,,,,,精装修,,,,dataset.csv,anjuke_kaggle
中企滨江悦府,,,,,精装修,,,,dataset.csv,anjuke_kaggle
